"Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5","Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"Ca,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5","Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5","Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5"
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.05E+00,1.93E-01,5.92E-01,3.87E+00,6.09E-01,0.384645931,8.65E-01,9.84E-03,-2.59E-01,2.83E-01,-1.61E-01,6.78E-02,-2.52E-01,4.31E+00,-4.41E-02,5.31E-01,3.50E+00,6.14E-01,0.379474745,8.35E-01,1.34E-03,-2.45E-01,2.69E-01,-1.05E-01,2.38E-01,-2.19E-01,4.31E+00,9.59E-02,8.51E-01,3.61E+00,6.17E-01,0.378504049,8.85E-01,1.66E-02,-6.27E-02,2.86E-01,-1.62E-01,2.21E-01,-2.94E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.48E+00,-6.72E-02,5.60E-01,3.61E+00,7.31E-01,0.369960712,9.83E-01,-4.10E-02,-1.29E-01,2.31E-01,-1.04E-01,2.37E-01,-2.82E-01,3.90E+00,2.37E-02,8.38E-01,3.12E+00,6.48E-01,0.363749739,8.84E-01,5.96E-02,-8.37E-02,2.53E-01,-1.45E-01,1.97E-01,-2.35E-01,3.77E+00,1.20E-01,5.60E-01,3.42E+00,6.72E-01,0.398567437,7.15E-01,5.84E-02,-1.13E-01,2.68E-01,-1.83E-01,2.64E-01,-1.94E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.46E+00,7.51E-02,3.19E-01,4.08E+00,5.82E-01,0.376989521,8.72E-01,7.97E-02,-1.19E-01,2.27E-01,-1.52E-01,9.59E-02,-2.39E-01,4.12E+00,-6.14E-02,4.21E-01,4.15E+00,6.75E-01,0.386991693,7.06E-01,4.01E-02,-1.23E-01,1.54E-01,-1.76E-01,1.15E-01,-2.57E-01,4.34E+00,5.37E-02,5.83E-01,3.37E+00,6.50E-01,0.394392044,9.97E-01,1.54E-02,-4.77E-02,2.44E-01,-8.47E-02,2.37E-01,-2.73E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.05E+00,1.18E-01,1.57E-01,4.12E+00,6.89E-01,0.357760964,8.87E-01,4.50E-02,-1.41E-01,1.81E-01,-2.42E-01,1.35E-01,-2.92E-01,3.74E+00,1.57E-01,6.32E-01,4.24E+00,6.43E-01,0.390553584,9.68E-01,2.77E-02,-1.40E-01,2.66E-01,-2.71E-01,6.42E-02,-2.91E-01,4.27E+00,2.83E-01,1.65E-01,3.84E+00,6.31E-01,0.373868757,8.30E-01,-1.38E-02,-1.62E-01,2.54E-01,-2.46E-01,1.05E-01,-2.27E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,3.90E+00,1.17E-01,2.39E-01,3.89E+00,6.54E-01,0.412172227,9.45E-01,7.64E-02,-1.39E-01,1.83E-01,-1.47E-01,1.15E-01,-2.57E-01,4.07E+00,7.53E-02,4.25E-01,4.31E+00,7.23E-01,0.378827835,8.52E-01,4.60E-02,-1.36E-01,1.91E-01,-2.22E-01,7.88E-02,-2.75E-01,3.96E+00,-7.12E-02,1.47E-01,4.29E+00,7.14E-01,0.385578671,7.37E-01,5.44E-04,-1.42E-01,2.29E-01,-2.48E-01,1.16E-01,-2.73E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,3.87E+00,5.21E-02,2.92E-01,3.35E+00,7.10E-01,0.341496922,9.24E-01,8.78E-02,-8.14E-02,2.37E-01,-1.92E-01,1.63E-01,-2.71E-01,3.93E+00,1.53E-02,6.53E-01,3.03E+00,5.72E-01,0.357961123,8.31E-01,1.32E-02,-2.49E-01,2.00E-01,-1.06E-01,1.31E-01,-2.08E-01,4.18E+00,-1.24E-01,6.49E-01,4.27E+00,6.31E-01,0.382577606,6.19E-01,3.79E-02,-8.20E-02,2.27E-01,-1.84E-01,1.14E-01,-2.85E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.36E+00,3.45E-02,5.75E-03,3.99E+00,6.99E-01,0.38366126,7.04E-01,5.21E-02,-4.70E-02,2.04E-01,-1.56E-01,1.39E-01,-2.59E-01,4.06E+00,-1.61E-01,3.05E-01,4.20E+00,7.94E-01,0.392798874,8.64E-01,-2.26E-02,-7.36E-02,2.73E-01,-1.33E-01,1.85E-01,-2.63E-01,3.95E+00,7.84E-03,8.33E-01,4.14E+00,7.63E-01,0.378897339,8.37E-01,9.21E-02,-2.35E-01,2.64E-01,-1.96E-01,2.34E-01,-2.05E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.43E+00,1.29E-01,-1.76E-01,3.96E+00,5.94E-01,0.410851903,7.34E-01,4.49E-02,2.32E-02,2.39E-01,-2.17E-01,1.59E-01,-2.82E-01,4.28E+00,6.22E-03,2.04E-01,3.93E+00,6.09E-01,0.398090172,7.63E-01,3.00E-02,-3.90E-02,1.50E-01,-1.08E-01,1.58E-01,-2.51E-01,4.49E+00,1.88E-02,7.49E-01,3.87E+00,7.39E-01,0.379441668,9.66E-01,8.14E-02,-1.69E-01,2.32E-01,-1.49E-01,2.70E-01,-2.57E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,3.64E+00,-1.17E-01,4.92E-01,4.13E+00,7.19E-01,0.389024915,7.98E-01,4.21E-02,-9.12E-02,2.51E-01,-2.26E-01,2.87E-01,-2.85E-01,4.08E+00,-9.84E-02,-4.39E-02,3.92E+00,6.51E-01,0.38011107,8.73E-01,-3.30E-02,3.50E-02,1.98E-01,-2.63E-01,1.24E-01,-2.90E-01,3.37E+00,-9.45E-03,1.27E-01,4.04E+00,5.96E-01,0.354129156,6.07E-01,9.37E-02,-1.49E-01,1.92E-01,-1.28E-01,1.35E-01,-2.62E-01
4.20E+00,5.26E-02,6.92E-01,3.91E+00,6.62E-01,0.389016067,9.39E-01,5.31E-02,-1.17E-01,2.36E-01,-1.66E-01,1.06E-01,-2.95E-01,4.18E+00,1.11E-01,4.62E-01,4.30E+00,5.93E-01,0.37592625,7.47E-01,6.60E-02,-3.32E-02,2.86E-01,-2.91E-01,1.24E-01,-2.25E-01,4.00E+00,5.37E-03,7.83E-01,4.14E+00,6.38E-01,0.369103595,6.42E-01,8.08E-02,-2.49E-02,1.91E-01,-2.36E-01,1.20E-01,-2.70E-01,4.28E+00,-1.77E-02,7.21E-01,3.80E+00,5.98E-01,0.393259641,7.98E-01,7.63E-02,-9.81E-02,2.75E-01,-1.87E-01,1.88E-01,-2.65E-01
