"Cd,H","Ca,1","Cp,H","Cd,T","Ca,T","Cp,T",Ca-2,"dCa,3","Cs,1","Cs,2","Cs,3","Cs,4","Cs,5"
3.67E+00,7.98E-02,4.50E-01,3.36E+00,2.08E-01,0.08318693,4.69E-01,3.48E-02,7.58E-02,-7.55E-02,-2.34E-02,4.57E-02,7.98E-03
3.85E+00,3.13E-01,7.89E-01,3.32E+00,2.43E-01,-0.022087704,1.95E-01,6.74E-02,-8.21E-03,5.17E-02,2.48E-02,2.01E-02,-1.16E-01
3.33E+00,4.90E-01,4.62E-01,2.83E+00,3.93E-01,0.211052323,6.49E-01,1.76E-03,8.05E-03,1.71E-02,-8.41E-02,1.54E-02,-5.42E-02
2.24E+00,4.32E-01,1.17E-01,3.21E+00,3.32E-01,0.122645956,6.62E-01,-6.77E-02,1.98E-02,3.03E-02,2.47E-02,-4.84E-02,-3.97E-02
3.03E+00,2.53E-01,1.33E-01,3.50E+00,2.80E-01,0.237661591,4.23E-01,2.15E-02,-2.58E-02,2.10E-02,2.25E-02,3.01E-02,-2.87E-02
2.70E+00,2.10E-01,7.53E-01,2.30E+00,2.69E-01,0.00343646,2.05E-01,3.42E-02,-3.92E-02,6.92E-02,7.48E-02,6.68E-02,9.37E-03
3.58E+00,9.84E-02,2.36E-01,2.47E+00,5.74E-01,0.052768973,4.77E-01,-9.96E-03,1.43E-02,-2.07E-02,2.55E-02,3.40E-03,2.73E-02
3.64E+00,2.78E-01,3.06E-01,2.89E+00,6.95E-01,0.250176979,2.30E-01,1.48E-02,1.49E-02,4.16E-02,-9.95E-03,1.50E-02,1.07E-01
3.25E+00,2.78E-01,5.13E-01,2.89E+00,4.38E-01,0.31039844,2.89E-01,3.25E-02,-3.30E-02,5.99E-03,1.26E-01,5.43E-02,-7.92E-03
2.67E+00,3.85E-01,7.31E-01,3.70E+00,2.85E-01,0.412876278,-4.19E-02,6.37E-02,-9.75E-02,-5.17E-03,-3.20E-02,4.16E-02,-1.39E-01
2.86E+00,5.10E-01,2.90E-01,2.92E+00,4.86E-01,0.287139824,2.69E-02,2.51E-02,4.78E-02,4.20E-02,-8.25E-02,7.83E-02,5.37E-02
1.93E+00,5.59E-01,3.35E-01,1.92E+00,3.92E-01,0.368055499,1.97E-01,-3.30E-03,-6.42E-02,3.13E-02,-7.29E-02,7.05E-02,7.43E-02
3.28E+00,1.84E-01,1.69E-01,3.09E+00,2.69E-01,0.276260234,4.27E-01,2.46E-02,-9.31E-02,2.98E-02,-6.49E-02,6.11E-02,-9.16E-02
4.25E+00,2.17E-01,3.35E-01,3.46E+00,5.18E-01,0.299145904,1.83E-01,2.78E-02,-4.68E-02,1.49E-02,-1.89E-01,1.23E-01,-1.38E-01
3.78E+00,6.09E-01,7.01E-01,2.26E+00,6.15E-01,0.377632462,5.24E-01,-3.68E-02,-8.31E-02,-5.76E-02,-6.31E-02,6.79E-02,6.43E-02
3.36E+00,1.26E-01,4.15E-01,3.11E+00,4.90E-01,0.339767805,4.46E-01,6.28E-02,-2.57E-02,-2.60E-02,-8.35E-02,1.08E-01,-4.20E-02
3.46E+00,4.11E-01,8.64E-01,3.20E+00,4.63E-01,0.394863602,1.84E-01,-3.61E-02,-1.24E-01,-2.46E-02,-1.75E-02,-4.15E-02,2.61E-02
3.09E+00,-9.05E-02,2.72E-01,3.41E+00,4.40E-01,0.287056717,2.23E-01,9.24E-02,-1.02E-01,-3.97E-02,-5.35E-02,5.68E-02,-5.53E-02
3.13E+00,4.40E-01,2.55E-01,2.94E+00,3.84E-01,0.305843857,2.70E-01,-2.29E-02,-4.34E-02,2.68E-02,-5.46E-02,5.61E-02,-2.96E-02
3.46E+00,2.58E-01,1.98E-01,3.12E+00,6.55E-01,0.325937303,5.37E-01,2.22E-02,-3.94E-03,1.18E-01,-3.75E-02,7.15E-02,-9.36E-02
3.95E+00,4.44E-01,3.25E-01,2.46E+00,5.56E-01,0.255786895,2.61E-01,-3.82E-02,-1.03E-01,1.68E-02,-2.79E-02,7.82E-02,7.30E-02
3.45E+00,-6.97E-02,7.27E-01,3.03E+00,6.93E-01,0.28948695,-6.02E-02,1.23E-02,-1.58E-02,1.51E-02,-5.70E-02,7.45E-02,4.61E-02
2.97E+00,7.88E-01,6.90E-01,3.15E+00,5.30E-01,0.333953926,-1.07E-02,4.27E-02,-1.00E-01,4.83E-02,-5.69E-02,1.98E-02,8.52E-02
2.32E+00,4.74E-01,6.94E-01,2.40E+00,5.82E-01,0.333811486,1.54E-01,3.54E-02,-5.07E-02,-6.25E-02,-8.29E-02,2.70E-02,2.68E-02
3.36E+00,4.10E-01,3.70E-01,2.45E+00,2.18E-01,0.366199405,-1.60E-02,4.53E-02,-1.24E-01,-6.59E-02,-6.96E-02,4.29E-02,6.14E-02
3.07E+00,2.85E-01,4.78E-01,3.38E+00,2.12E-01,0.291409942,5.53E-01,6.57E-02,-4.92E-02,4.80E-02,-6.90E-02,5.68E-03,4.75E-03
2.93E+00,-6.37E-02,5.20E-01,3.63E+00,2.76E-01,0.390815557,-7.34E-03,3.91E-02,-3.51E-02,2.29E-02,-8.86E-02,4.23E-02,-3.80E-02
2.97E+00,2.45E-01,3.53E-01,3.11E+00,-8.76E-02,0.336373781,-5.81E-02,1.09E-02,-7.95E-02,-3.28E-02,-4.23E-02,-7.67E-02,-3.59E-02
3.54E+00,4.57E-01,3.73E-01,3.41E+00,4.22E-01,0.270825132,5.16E-01,-2.78E-02,1.70E-02,6.65E-02,-1.15E-01,-6.58E-03,4.35E-02
2.99E+00,-9.04E-02,6.68E-01,3.02E+00,3.33E-01,0.198091715,-1.58E-01,-2.16E-02,-5.41E-02,-1.57E-01,-1.45E-01,1.06E-01,-1.86E-02
2.52E+00,3.44E-01,7.27E-01,2.96E+00,2.75E-01,0.340632984,-2.10E-02,9.87E-02,-1.37E-01,1.93E-02,-7.78E-02,2.90E-02,-2.36E-02
2.76E+00,3.14E-01,1.19E-01,1.88E+00,3.49E-01,0.37718414,4.75E-01,-3.76E-02,-4.22E-02,-2.62E-02,-4.96E-02,6.38E-02,5.35E-02
2.76E+00,3.31E-01,7.07E-01,2.42E+00,4.60E-01,0.195146385,5.05E-01,7.33E-02,-1.71E-01,2.69E-02,-2.23E-02,3.44E-02,-1.39E-02
3.65E+00,3.51E-01,4.22E-01,1.68E+00,9.85E-01,0.347348344,6.12E-01,9.19E-02,-5.94E-02,-1.26E-02,6.94E-02,6.93E-03,-6.23E-02
3.50E+00,5.64E-01,-1.86E-02,3.40E+00,3.40E-01,0.293271741,5.11E-01,5.36E-02,-3.84E-02,4.73E-02,1.21E-01,2.94E-02,6.34E-02
4.06E+00,2.26E-01,6.89E-01,3.25E+00,6.20E-01,0.274479268,6.42E-01,3.27E-02,8.98E-03,1.54E-02,1.72E-01,5.88E-02,-1.80E-02
3.90E+00,7.84E-01,9.57E-01,3.48E+00,2.83E-01,0.24684634,5.10E-01,7.30E-02,-1.10E-02,-6.07E-02,-6.94E-03,1.33E-03,-2.01E-02
3.31E+00,3.88E-01,3.71E-01,2.98E+00,3.80E-01,0.226803543,8.16E-01,8.77E-02,-8.63E-02,5.49E-02,8.94E-02,3.01E-02,-9.05E-02
3.43E+00,2.25E-01,4.13E-01,2.47E+00,5.58E-01,0.198331525,4.00E-01,-5.99E-03,4.03E-02,3.12E-03,4.79E-02,4.80E-02,-5.96E-02
3.77E+00,3.12E-01,4.51E-01,1.77E+00,3.29E-01,0.341924488,6.41E-01,-8.75E-03,2.58E-02,2.83E-02,-1.84E-03,2.10E-02,3.25E-02
4.36E+00,6.50E-01,3.62E-01,3.28E+00,6.97E-01,0.33617296,5.72E-01,4.17E-03,2.94E-02,1.56E-02,1.03E-01,-3.67E-02,-5.73E-02
3.42E+00,4.51E-01,3.94E-01,2.89E+00,4.49E-01,0.350497223,1.90E-01,7.96E-02,6.70E-02,4.84E-02,7.36E-02,-5.88E-02,-1.35E-01
4.00E+00,2.52E-01,6.00E-01,2.52E+00,5.42E-01,0.286069938,8.10E-01,5.19E-02,-6.93E-02,-1.02E-01,8.96E-02,1.09E-02,4.85E-03
3.09E+00,7.66E-01,1.31E-01,3.69E+00,6.89E-01,0.186541193,7.22E-01,8.64E-02,-4.43E-03,-6.99E-02,1.34E-01,1.17E-02,-2.16E-03
3.45E+00,4.79E-01,3.52E-01,2.16E+00,9.70E-01,0.240168439,3.82E-01,5.62E-02,-5.10E-02,2.94E-02,1.66E-01,8.53E-03,5.25E-02
4.22E+00,4.94E-01,6.31E-01,2.82E+00,5.69E-01,0.097942852,7.36E-01,6.51E-03,-3.75E-02,1.74E-02,1.04E-01,1.04E-01,-6.72E-02
3.84E+00,4.19E-01,5.68E-01,2.18E+00,6.64E-01,0.253442415,9.57E-01,6.62E-02,7.80E-03,1.52E-02,1.09E-01,-1.44E-02,-2.89E-02
4.26E+00,4.66E-01,3.23E-01,2.11E+00,6.09E-01,0.341965545,9.16E-01,-2.71E-02,-6.44E-02,6.40E-02,7.38E-02,2.78E-02,2.33E-03
3.91E+00,5.14E-01,4.82E-02,2.60E+00,5.28E-01,0.356876931,9.10E-01,3.97E-02,1.71E-02,-3.96E-02,4.02E-02,6.03E-02,1.30E-02
3.75E+00,2.70E-01,2.30E-01,1.80E+00,7.70E-01,0.344986498,9.05E-01,5.67E-02,-3.27E-02,1.04E-01,9.36E-02,-1.27E-01,-4.72E-02
4.13E+00,6.97E-01,4.88E-01,3.19E+00,6.55E-01,0.102028316,6.28E-01,6.95E-02,-3.83E-02,-2.46E-02,1.12E-01,-3.04E-02,-1.26E-01
3.46E+00,2.66E-01,3.98E-01,3.10E+00,5.70E-01,0.272334492,4.62E-01,2.37E-02,2.80E-02,-3.76E-03,9.47E-02,1.02E-01,-1.17E-02
3.76E+00,4.98E-01,3.81E-01,3.68E+00,5.30E-01,0.196642845,4.84E-01,4.45E-02,-5.56E-02,-7.64E-04,1.15E-01,6.99E-02,-1.17E-01
3.99E+00,5.15E-01,5.04E-01,3.35E+00,4.92E-01,0.254692779,8.50E-01,2.60E-02,-8.46E-02,-4.53E-02,3.08E-02,9.29E-02,7.10E-02
4.46E+00,1.29E-01,5.05E-01,4.05E+00,4.79E-01,0.181665759,8.12E-01,6.53E-02,-3.54E-02,7.70E-02,1.86E-02,4.42E-02,1.65E-02
